m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,bed_pos,it_pos,sr_pos,ir_pos,b_name
285,4983,230100.0,5,5,3,3,5,2,3,1,BenchmarkParseProtoGzip
286,4849,228437.0,5,5,3,3,1,3,3,1,BenchmarkParseProtoGzip
287,4420,228088.0,5,5,3,3,2,3,3,1,BenchmarkParseProtoGzip
288,4690,227461.0,5,5,3,3,3,3,3,1,BenchmarkParseProtoGzip
289,4602,226490.0,5,5,3,3,4,3,3,1,BenchmarkParseProtoGzip
290,4812,225674.0,5,5,3,3,5,3,3,1,BenchmarkParseProtoGzip
291,5078,227828.0,5,5,3,3,1,4,3,1,BenchmarkParseProtoGzip
292,5018,227403.0,5,5,3,3,2,4,3,1,BenchmarkParseProtoGzip
293,4828,226628.0,5,5,3,3,3,4,3,1,BenchmarkParseProtoGzip
294,5095,226028.0,5,5,3,3,4,4,3,1,BenchmarkParseProtoGzip
295,4758,224673.0,5,5,3,3,5,4,3,1,BenchmarkParseProtoGzip
296,4802,227834.0,5,5,3,3,1,5,3,1,BenchmarkParseProtoGzip
297,4886,226252.0,5,5,3,3,2,5,3,1,BenchmarkParseProtoGzip
298,4785,228406.0,5,5,3,3,3,5,3,1,BenchmarkParseProtoGzip
299,4657,226723.0,5,5,3,3,4,5,3,1,BenchmarkParseProtoGzip
300,4813,230476.0,5,5,3,3,5,5,3,1,BenchmarkParseProtoGzip
301,6912,172726.0,5,5,3,3,1,1,1,1,BenchmarkParseProtoMap
302,6966,172096.0,5,5,3,3,2,1,1,1,BenchmarkParseProtoMap
303,6811,175025.0,5,5,3,3,3,1,1,1,BenchmarkParseProtoMap
304,6979,171835.0,5,5,3,3,4,1,1,1,BenchmarkParseProtoMap
305,6924,172919.0,5,5,3,3,5,1,1,1,BenchmarkParseProtoMap
306,7030,170129.0,5,5,3,3,1,2,1,1,BenchmarkParseProtoMap
307,6939,171310.0,5,5,3,3,2,2,1,1,BenchmarkParseProtoMap
308,6400,173852.0,5,5,3,3,3,2,1,1,BenchmarkParseProtoMap
309,6974,171587.0,5,5,3,3,4,2,1,1,BenchmarkParseProtoMap
310,5962,170019.0,5,5,3,3,5,2,1,1,BenchmarkParseProtoMap
311,5908,170950.0,5,5,3,3,1,3,1,1,BenchmarkParseProtoMap
312,6367,172408.0,5,5,3,3,2,3,1,1,BenchmarkParseProtoMap
313,5920,175404.0,5,5,3,3,3,3,1,1,BenchmarkParseProtoMap
314,6699,169862.0,5,5,3,3,4,3,1,1,BenchmarkParseProtoMap
315,6945,171019.0,5,5,3,3,5,3,1,1,BenchmarkParseProtoMap
316,5985,170308.0,5,5,3,3,1,4,1,1,BenchmarkParseProtoMap
317,6668,170561.0,5,5,3,3,2,4,1,1,BenchmarkParseProtoMap
318,7006,170920.0,5,5,3,3,3,4,1,1,BenchmarkParseProtoMap
319,6224,174035.0,5,5,3,3,4,4,1,1,BenchmarkParseProtoMap
320,6214,170387.0,5,5,3,3,5,4,1,1,BenchmarkParseProtoMap
321,6886,173510.0,5,5,3,3,1,5,1,1,BenchmarkParseProtoMap
322,6808,176726.0,5,5,3,3,2,5,1,1,BenchmarkParseProtoMap
323,6928,170411.0,5,5,3,3,3,5,1,1,BenchmarkParseProtoMap
324,6138,171945.0,5,5,3,3,4,5,1,1,BenchmarkParseProtoMap
325,6950,171879.0,5,5,3,3,5,5,1,1,BenchmarkParseProtoMap
326,5967,171665.0,5,5,3,3,1,1,2,1,BenchmarkParseProtoMap
327,6714,172668.0,5,5,3,3,2,1,2,1,BenchmarkParseProtoMap
328,6456,172936.0,5,5,3,3,3,1,2,1,BenchmarkParseProtoMap
329,6021,172389.0,5,5,3,3,4,1,2,1,BenchmarkParseProtoMap
330,6994,172556.0,5,5,3,3,5,1,2,1,BenchmarkParseProtoMap
